fecha,nombre_fondo,valor_unidad
2016-01-19,Fondo de Cesantias Largo Plazo,26712.23
2016-01-19,Fondo de Cesantias Corto Plazo,26605.89
2016-01-19,Fondo de Pensiones Moderado,33653.09
2016-01-19,Fondo de Pensiones Conservador,35636.24
2016-01-19,Fondo de Pensiones Mayor Riesgo,32867.15
2016-01-19,Fondo de Pensiones Retiro Programado,35981.88
2016-01-20,Fondo de Cesantias Largo Plazo,26567.44
2016-01-20,Fondo de Cesantias Corto Plazo,26610.05
2016-01-20,Fondo de Pensiones Moderado,33549.94
2016-01-20,Fondo de Pensiones Conservador,35516.78
2016-01-20,Fondo de Pensiones Mayor Riesgo,32632.94
2016-01-20,Fondo de Pensiones Retiro Programado,35819.53
2016-01-21,Fondo de Cesantias Largo Plazo,26669.85
2016-01-21,Fondo de Cesantias Corto Plazo,26611.71
2016-01-21,Fondo de Pensiones Moderado,33707.87
2016-01-21,Fondo de Pensiones Conservador,35578.45
2016-01-21,Fondo de Pensiones Mayor Riesgo,32748.83
2016-01-21,Fondo de Pensiones Retiro Programado,35911.02
2016-01-22,Fondo de Cesantias Largo Plazo,26913.05
2016-01-22,Fondo de Cesantias Corto Plazo,26615.5
2016-01-22,Fondo de Pensiones Moderado,33936.47
2016-01-22,Fondo de Pensiones Conservador,35732.19
2016-01-22,Fondo de Pensiones Mayor Riesgo,33255.75
2016-01-22,Fondo de Pensiones Retiro Programado,36082.9
2016-01-23,Fondo de Cesantias Largo Plazo,26915.71
2016-01-23,Fondo de Cesantias Corto Plazo,26618.78
2016-01-23,Fondo de Pensiones Moderado,33941.15
2016-01-23,Fondo de Pensiones Conservador,35740.24
2016-01-23,Fondo de Pensiones Mayor Riesgo,33259.46
2016-01-23,Fondo de Pensiones Retiro Programado,36091.66
2016-01-24,Fondo de Cesantias Largo Plazo,26919.24
2016-01-24,Fondo de Cesantias Corto Plazo,26622.27
2016-01-24,Fondo de Pensiones Moderado,33945.89
2016-01-24,Fondo de Pensiones Conservador,35748.32
2016-01-24,Fondo de Pensiones Mayor Riesgo,33263.19
2016-01-24,Fondo de Pensiones Retiro Programado,36100.42
2016-01-25,Fondo de Cesantias Largo Plazo,26878.63
2016-01-25,Fondo de Cesantias Corto Plazo,26625.9
2016-01-25,Fondo de Pensiones Moderado,34015.88
2016-01-25,Fondo de Pensiones Conservador,35746.64
2016-01-25,Fondo de Pensiones Mayor Riesgo,33224.01
2016-01-25,Fondo de Pensiones Retiro Programado,36085.51
2016-01-26,Fondo de Cesantias Largo Plazo,26994.52
2016-01-26,Fondo de Cesantias Corto Plazo,26627.49
2016-01-26,Fondo de Pensiones Moderado,34136.72
2016-01-26,Fondo de Pensiones Conservador,35805.92
2016-01-26,Fondo de Pensiones Mayor Riesgo,33450.76
2016-01-26,Fondo de Pensiones Retiro Programado,36160.46
2016-01-27,Fondo de Cesantias Largo Plazo,27006.17
2016-01-27,Fondo de Cesantias Corto Plazo,26630.74
2016-01-27,Fondo de Pensiones Moderado,34172.7
2016-01-27,Fondo de Pensiones Conservador,35823.57
2016-01-27,Fondo de Pensiones Mayor Riesgo,33431.13
2016-01-27,Fondo de Pensiones Retiro Programado,36185.03
2016-01-28,Fondo de Cesantias Largo Plazo,27015.66
2016-01-28,Fondo de Cesantias Corto Plazo,26636.91
2016-01-28,Fondo de Pensiones Moderado,34109.93
2016-01-28,Fondo de Pensiones Conservador,35833.51
2016-01-28,Fondo de Pensiones Mayor Riesgo,33428.22
2016-01-28,Fondo de Pensiones Retiro Programado,36196.3
2016-01-29,Fondo de Cesantias Largo Plazo,27177.85
2016-01-29,Fondo de Cesantias Corto Plazo,26641.19
2016-01-29,Fondo de Pensiones Moderado,34304.56
2016-01-29,Fondo de Pensiones Conservador,35955.79
2016-01-29,Fondo de Pensiones Mayor Riesgo,33797.43
2016-01-29,Fondo de Pensiones Retiro Programado,36295.24
2016-01-30,Fondo de Cesantias Largo Plazo,27180.3
2016-01-30,Fondo de Cesantias Corto Plazo,26643.9
2016-01-30,Fondo de Pensiones Moderado,34309.36
2016-01-30,Fondo de Pensiones Conservador,35964.04
2016-01-30,Fondo de Pensiones Mayor Riesgo,33801.02
2016-01-30,Fondo de Pensiones Retiro Programado,36304.17
2016-01-31,Fondo de Cesantias Largo Plazo,27182.67
2016-01-31,Fondo de Cesantias Corto Plazo,26646.62
2016-01-31,Fondo de Pensiones Moderado,34313.87
2016-01-31,Fondo de Pensiones Conservador,35972.27
2016-01-31,Fondo de Pensiones Mayor Riesgo,33804.57
2016-01-31,Fondo de Pensiones Retiro Programado,36312.85
2016-02-01,Fondo de Cesantias Largo Plazo,27224.36
2016-02-01,Fondo de Cesantias Corto Plazo,26648.9
2016-02-01,Fondo de Pensiones Moderado,34471.27
2016-02-01,Fondo de Pensiones Conservador,36001.01
2016-02-01,Fondo de Pensiones Mayor Riesgo,33969.31
2016-02-01,Fondo de Pensiones Retiro Programado,36319.81
2016-02-02,Fondo de Cesantias Largo Plazo,27084.98
2016-02-02,Fondo de Cesantias Corto Plazo,26652.8
2016-02-02,Fondo de Pensiones Moderado,34367.61
2016-02-02,Fondo de Pensiones Conservador,35930.27
2016-02-02,Fondo de Pensiones Mayor Riesgo,33705.44
2016-02-02,Fondo de Pensiones Retiro Programado,36232.0
2016-02-03,Fondo de Cesantias Largo Plazo,27096.97
2016-02-03,Fondo de Cesantias Corto Plazo,26657.01
2016-02-03,Fondo de Pensiones Moderado,34362.21
2016-02-03,Fondo de Pensiones Conservador,35910.31
2016-02-03,Fondo de Pensiones Mayor Riesgo,33707.07
2016-02-03,Fondo de Pensiones Retiro Programado,36212.17
2016-02-04,Fondo de Cesantias Largo Plazo,27012.52
2016-02-04,Fondo de Cesantias Corto Plazo,26661.01
2016-02-04,Fondo de Pensiones Moderado,34223.72
2016-02-04,Fondo de Pensiones Conservador,35833.0
2016-02-04,Fondo de Pensiones Mayor Riesgo,33430.73
2016-02-04,Fondo de Pensiones Retiro Programado,36147.62
2016-02-05,Fondo de Cesantias Largo Plazo,26954.62
2016-02-05,Fondo de Cesantias Corto Plazo,26663.35
2016-02-05,Fondo de Pensiones Moderado,34177.17
2016-02-05,Fondo de Pensiones Conservador,35790.82
2016-02-05,Fondo de Pensiones Mayor Riesgo,33291.93
2016-02-05,Fondo de Pensiones Retiro Programado,36113.98
2016-02-06,Fondo de Cesantias Largo Plazo,26957.33
2016-02-06,Fondo de Cesantias Corto Plazo,26667.49
2016-02-06,Fondo de Pensiones Moderado,34182.61
2016-02-06,Fondo de Pensiones Conservador,35799.07
2016-02-06,Fondo de Pensiones Mayor Riesgo,33295.92
2016-02-06,Fondo de Pensiones Retiro Programado,36122.87
2016-02-07,Fondo de Cesantias Largo Plazo,26959.98
2016-02-07,Fondo de Cesantias Corto Plazo,26671.05
2016-02-07,Fondo de Pensiones Moderado,34187.34
2016-02-07,Fondo de Pensiones Conservador,35807.56
2016-02-07,Fondo de Pensiones Mayor Riesgo,33300.01
2016-02-07,Fondo de Pensiones Retiro Programado,36131.95
2016-02-08,Fondo de Cesantias Largo Plazo,26871.64
2016-02-08,Fondo de Cesantias Corto Plazo,26674.07
2016-02-08,Fondo de Pensiones Moderado,34102.95
2016-02-08,Fondo de Pensiones Conservador,35758.83
2016-02-08,Fondo de Pensiones Mayor Riesgo,33160.84
2016-02-08,Fondo de Pensiones Retiro Programado,36062.61
2016-02-09,Fondo de Cesantias Largo Plazo,26767.09
2016-02-09,Fondo de Cesantias Corto Plazo,26676.67
2016-02-09,Fondo de Pensiones Moderado,33998.85
2016-02-09,Fondo de Pensiones Conservador,35663.35
2016-02-09,Fondo de Pensiones Mayor Riesgo,32911.43
2016-02-09,Fondo de Pensiones Retiro Programado,35966.07
2016-02-10,Fondo de Cesantias Largo Plazo,26767.98
2016-02-10,Fondo de Cesantias Corto Plazo,26678.89
2016-02-10,Fondo de Pensiones Moderado,33987.48
2016-02-10,Fondo de Pensiones Conservador,35647.3
2016-02-10,Fondo de Pensiones Mayor Riesgo,32838.43
2016-02-10,Fondo de Pensiones Retiro Programado,35968.15
2016-02-11,Fondo de Cesantias Largo Plazo,26598.13
2016-02-11,Fondo de Cesantias Corto Plazo,26681.4
2016-02-11,Fondo de Pensiones Moderado,33812.16
2016-02-11,Fondo de Pensiones Conservador,35481.58
2016-02-11,Fondo de Pensiones Mayor Riesgo,32536.46
2016-02-11,Fondo de Pensiones Retiro Programado,35785.6
2016-02-12,Fondo de Cesantias Largo Plazo,26718.29
2016-02-12,Fondo de Cesantias Corto Plazo,26684.35
2016-02-12,Fondo de Pensiones Moderado,33950.17
2016-02-12,Fondo de Pensiones Conservador,35603.65
2016-02-12,Fondo de Pensiones Mayor Riesgo,32734.42
2016-02-12,Fondo de Pensiones Retiro Programado,35938.31
2016-02-13,Fondo de Cesantias Largo Plazo,26720.82
2016-02-13,Fondo de Cesantias Corto Plazo,26686.57
2016-02-13,Fondo de Pensiones Moderado,33955.31
2016-02-13,Fondo de Pensiones Conservador,35611.84
2016-02-13,Fondo de Pensiones Mayor Riesgo,32738.39
2016-02-13,Fondo de Pensiones Retiro Programado,35947.39
2016-02-14,Fondo de Cesantias Largo Plazo,26723.64
2016-02-14,Fondo de Cesantias Corto Plazo,26688.79
2016-02-14,Fondo de Pensiones Moderado,33960.22
2016-02-14,Fondo de Pensiones Conservador,35620.22
2016-02-14,Fondo de Pensiones Mayor Riesgo,32742.38
2016-02-14,Fondo de Pensiones Retiro Programado,35956.57
